index,titleId,title,types,averageRating,numVotes,isAdult,startYear,runtimeMinutes,genre1,genre2,genre 3
0,tt0029583,Sno Oyit Te cevan tvarhptsaic,alternative,7.6,180609,0,1937,83,12,10,3
1,tt0070047,The Exorcist,imdbDisplay,8,361033,0,1973,122,13,99,99
2,tt0073195,Jaws,imdbDisplay,8,541651,0,1975,124,1,8,99
3,tt0075860,Munram Vakaiyana Cantippukalai Mutu,imdbDisplay,7.6,183938,0,1977,138,2,4,99
4,tt0077760,Jagan Mohini,98,6.5,28,0,1978,163,3,99,99
5,tt0078346,Superman,imdbDisplay,7.3,158543,0,1978,143,0,1,2
6,tt0081283,Catarana Makkal,imdbDisplay,7.7,46756,0,1980,124,2,99,99
7,tt0081573,Superman II,imdbDisplay,6.8,97758,0,1980,127,0,1,4
8,tt0082971,Last Pelaiyin Reytars,imdbDisplay,8.4,879588,0,1981,115,0,1,99
9,tt0083658,Pilet Rannar,imdbDisplay,8.1,690016,0,1982,117,0,4,8
10,tt0083866,E.T. the Extra-Terrestrial,imdbDisplay,7.8,370282,0,1982,115,10,4,99
11,tt0086075,Priya O Priya,98,6.9,237,0,1983,150,2,5,99
12,tt0087332,Ghostbusters,imdbDisplay,7.8,353751,0,1984,105,0,6,3
13,tt0087868,Saahil,98,7.5,416,0,1984,141,2,99,99
14,tt0088128,Patinaru Melukuvarttikal,imdbDisplay,7.1,104940,0,1984,93,6,5,99
15,tt0088247,The Terminator,imdbDisplay,8,797192,0,1984,107,0,4,99
16,tt0088763,Back to the Future,imdbDisplay,8.5,1050649,0,1985,116,1,6,4
17,tt0088847,The Breakfast Club,imdbDisplay,7.8,355372,0,1985,97,6,2,99
18,tt0088939,The Color Purple,imdbDisplay,7.8,77892,0,1985,154,2,99,99
19,tt0090329,Witness,imdbDisplay,7.4,85884,0,1985,112,7,2,5
20,tt0091445,Lucas,imdbDisplay,6.9,14586,0,1986,100,6,2,5
